step,rate,time,speed,throttle,brake,steer,x,y,yaw,idx,ev,elat,eyaw,sp_x,sp_y,sp_yaw,sp_v,sp_curvature
251,0.019999999999999574,0.019999999999999574,0.0,1.0,0.0,0.9985835857994348,-183.8001251220703,80.20000457763672,-1.5707961936368422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,0.020000000000000462,0.040000000000000036,2.8029351597069763e-05,0.8277654409064099,0.0,0.9985835857994348,-183.8001251220703,80.20000457763672,-1.5707961936368422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,0.019999999999999574,0.05999999999999961,0.017941564321517944,0.7986181742697291,0.0,0.9985835857994348,-183.80010986328125,80.19979095458984,-1.5707866062569178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,0.020000000000000462,0.08000000000000007,0.012476497329771519,0.8497952543294606,0.0,0.9985835857994348,-183.8001708984375,80.19995880126953,-1.5708123057614372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,0.019999999999999574,0.09999999999999964,0.012720023281872272,0.848195947333564,0.0,0.9985835857994348,-183.80015563964844,80.1997299194336,-1.570795661004624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.020000000000000462,0.1200000000000001,0.013743869960308075,0.8549121910347415,0.0,0.9985835857994348,-183.8001251220703,80.19949340820312,-1.5707792825639202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,0.019999999999999574,0.13999999999999968,0.015966400504112244,0.8604605726485984,0.0,0.9985835857994348,-183.80007934570312,80.19923400878906,-1.5707558467463274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,0.020000000000000462,0.16000000000000014,0.019916806370019913,0.8644502432848116,0.0,0.9985835857994348,-183.80003356933594,80.19889831542969,-1.5707194945974479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,0.019999999999999574,0.17999999999999972,0.027193639427423477,0.8644294468389835,0.0,0.9985835857994348,-183.79994201660156,80.19843292236328,-1.5706551792571224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.020000000000000462,0.20000000000000018,0.04959029704332352,0.8383399829180689,0.0,0.9985835857994348,-183.79969787597656,80.19761657714844,-1.5704692906130349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.019999999999999574,0.21999999999999975,0.1107829362154007,0.7568281831548439,0.0,0.9985835857994348,-183.7990264892578,80.19554138183594,-1.5700696832914685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.020000000000000462,0.2400000000000002,0.18172034621238708,0.7221479704398144,0.0,0.9985835857994348,-183.7978057861328,80.19196319580078,-1.5692799228702055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.019999999999999574,0.2599999999999998,0.22127822041511536,0.7701392215239256,0.0,0.9985835857994348,-183.79632568359375,80.18737030029297,-1.5682274416074062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.020000000000000462,0.28000000000000025,0.26529449224472046,0.7537771393587327,0.0,0.9985835857994348,-183.7943115234375,80.18193817138672,-1.5669037173875824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.019999999999999574,0.2999999999999998,0.309453547000885,0.7446487035680585,0.0,0.9985835857994348,-183.7918243408203,80.17565155029297,-1.5652050200862753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0.020000000000000462,0.3200000000000003,0.3590850234031677,0.734968137079435,0.0,0.9985835857994348,-183.78871154785156,80.16847229003906,-1.563025089575991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.019999999999999574,0.33999999999999986,0.4037999212741852,0.7252932365461627,0.0,0.9985835857994348,-183.78488159179688,80.16028594970703,-1.5603098636866006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.020000000000000462,0.3600000000000003,0.4885011613368988,0.6312889397439725,0.0,0.9985835857994348,-183.77993774414062,80.1506576538086,-1.5566741161664244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.019999999999999574,0.3799999999999999,0.554003894329071,0.6469970479257279,0.0,0.9985835857994348,-183.7738800048828,80.13969421386719,-1.5522122560761056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.020000000000000462,0.40000000000000036,0.5956752896308899,0.6790185055508139,0.0,0.9985835857994348,-183.7667694091797,80.12776947021484,-1.5469615676709054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.019999999999999574,0.41999999999999993,0.6310625672340393,0.693425029748709,0.0,0.9985835857994348,-183.7584991455078,80.11524963378906,-1.5408852993277806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,0.020000000000000462,0.4400000000000004,0.6758402585983276,0.657284519358512,0.0,0.9985835857994348,-183.74923706054688,80.10204315185547,-1.5341307238550126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0.019999999999999574,0.45999999999999996,0.7244871854782104,0.6378130866178653,0.0,0.9985835857994348,-183.73912048339844,80.08802795410156,-1.526815552972783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,0.020000000000000462,0.4800000000000004,0.7726972103118896,0.6367063468339714,0.0,0.9985835857994348,-183.72817993164062,80.07321166992188,-1.5189999741217275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,0.019999999999999574,0.5,0.8200215101242065,0.6168177576577346,0.0,0.9908013483365736,-183.7164764404297,80.0576171875,-1.5107238015601427,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,0.019999999999999574,0.5199999999999996,0.8694208860397339,0.599432708156336,0.0,0.9762719398680347,-183.7040557861328,80.04122161865234,-1.5020549458958259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,0.020000000000000462,0.54,0.9217333793640137,0.5902247558311629,0.0,0.9610161773158483,-183.6909942626953,80.02395629882812,-1.4930702393262254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,0.019999999999999574,0.5599999999999996,0.9745452404022217,0.5651412365633776,0.0,0.9453838994168471,-183.67735290527344,80.00580596923828,-1.4838242766536884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,0.020000000000000462,0.5800000000000001,1.0272364616394043,0.5495700141389978,0.0,0.9294820321849827,-183.66314697265625,79.9867935180664,-1.4743560731881842,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,0.019999999999999574,0.5999999999999996,1.0788812637329102,0.5466624654889395,0.0,0.9134545555013892,-183.6483917236328,79.9669189453125,-1.464703179501083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0.020000000000000462,0.6200000000000001,1.12946617603302,0.5242579652674536,0.0,0.8973325929894361,-183.63316345214844,79.94623565673828,-1.4548964882610296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.019999999999999574,0.6399999999999997,1.178947925567627,0.5216893886762252,0.0,0.8811348523599161,-183.61741638183594,79.92475128173828,-1.4449638295014156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,0.020000000000000462,0.6600000000000001,1.2271729707717896,0.4999515720137696,0.0,0.8649079796573516,-183.60122680664062,79.90251159667969,-1.434932766939523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.019999999999999574,0.6799999999999997,1.2740883827209473,0.48719090348222893,0.0,0.848672440339567,-183.58457946777344,79.87953186035156,-1.424827269025163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.020000000000000462,0.7000000000000002,1.3194429874420166,0.4861337775152298,0.0,0.8324778700595774,-183.56748962402344,79.85585021972656,-1.4146721031564728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,0.019999999999999574,0.7199999999999998,1.3632744550704956,0.46569314300346704,0.0,0.8163437622894516,-183.55003356933594,79.83149719238281,-1.4044892404124458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,0.020000000000000462,0.7400000000000002,1.4055536985397339,0.46526239503401307,0.0,0.8002784058169995,-183.5321502685547,79.8064956665039,-1.394298521343203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0.019999999999999574,0.7599999999999998,1.4461781978607178,0.4457576053321199,0.0,0.7843099568835017,-183.5138702392578,79.78087615966797,-1.3841181886022118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,0.020000000000000462,0.7800000000000002,1.485145092010498,0.4462723931652612,0.0,0.7684547169897818,-183.49522399902344,79.75468444824219,-1.3739667511590477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.019999999999999574,0.7999999999999998,1.5223820209503174,0.42770637936502676,0.0,0.7527344787105597,-183.4762420654297,79.72794342041016,-1.3638583237674884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.020000000000000462,0.8200000000000003,1.5579090118408203,0.42915733000771145,0.0,0.737156677341801,-183.45692443847656,79.70068359375,-1.35380875223602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,0.019999999999999574,0.8399999999999999,1.5916979312896729,0.4224340971024733,0.0,0.7217355898278418,-183.43728637695312,79.67293548583984,-1.3438320181603651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,0.020000000000000462,0.8600000000000003,1.6239534616470337,0.40478540885671,0.0,0.7064498936825748,-183.4173126220703,79.64472198486328,-1.3339399726073748,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.019999999999999574,0.8799999999999999,1.6545608043670654,0.40739358701770517,0.0,0.6913264209345955,-183.3970489501953,79.61608123779297,-1.324142602431137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.020000000000000462,0.9000000000000004,1.683472990989685,0.39091155582653386,0.0,0.6763764494589387,-183.37649536132812,79.5870361328125,-1.3144497613276844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,0.019999999999999574,0.9199999999999999,1.71072518825531,0.3957801783048763,0.0,0.6616032858874543,-183.3556671142578,79.55763244628906,-1.3048710366769418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,0.020000000000000462,0.9400000000000004,1.73633873462677,0.37905275430142304,0.0,0.6470078484875531,-183.33456420898438,79.52787017822266,-1.295414018488016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.019999999999999574,0.96,1.7603777647018433,0.383335204772456,0.0,0.6326006550420538,-183.313232421875,79.49778747558594,-1.2860881609827766,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,0.020000000000000462,0.9800000000000004,1.782837986946106,0.37940819491072236,0.0,0.6183753815965796,-183.29165649414062,79.46742248535156,-1.276898124693131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.019999999999999574,1.0,1.8039621114730835,0.3644825505462238,0.0,0.6043031431603567,-183.2698516845703,79.43678283691406,-1.267850833837914,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,0.019999999999999574,1.0199999999999996,1.8236907720565796,0.36968625208289524,0.0,0.590410202530422,-183.24786376953125,79.40589904785156,-1.2589506826329235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,0.020000000000000462,1.04,1.8420677185058594,0.35557943372447,0.0,0.5766766780259339,-183.2256622314453,79.37479400634766,-1.2502007337134138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0.019999999999999574,1.0599999999999996,1.8591986894607544,0.3612748919372215,0.0,0.5631086368301833,-183.2032928466797,79.3434829711914,-1.241605913927401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.020000000000000462,1.08,1.875126600265503,0.35858136395690654,0.0,0.5496933856088221,-183.1807403564453,79.31197357177734,-1.2331691527520845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,0.019999999999999574,1.0999999999999996,1.8900930881500244,0.34479325947501616,0.0,0.536394414714227,-183.1580047607422,79.28030395507812,-1.2248920480841183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.020000000000000462,1.12,1.9040162563323975,0.35107994274068244,0.0,0.5232405918613483,-183.1351318359375,79.24848175048828,-1.2167776625587559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.019999999999999574,1.1399999999999997,1.9169204235076904,0.3489615122381213,0.0,0.5102175242038318,-183.11209106445312,79.21649932861328,-1.2088282598629239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.020000000000000462,1.1600000000000001,1.9290343523025513,0.3357267139371225,0.0,0.4972978975096216,-183.08892822265625,79.18439483642578,-1.2010431742063497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0.019999999999999574,1.1799999999999997,1.9402648210525513,0.3425439456100694,0.0,0.48450333314345234,-183.06564331054688,79.15216827392578,-1.193426000856505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,0.020000000000000462,1.2000000000000002,1.9506257772445679,0.3409351933711753,0.0,0.47181934854736013,-183.04220581054688,79.11983489990234,-1.185978071393935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.019999999999999574,1.2199999999999998,1.960340976715088,0.3281815169856449,0.0,0.4592274323628333,-183.01869201660156,79.08739471435547,-1.178700051608912,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.020000000000000462,1.2400000000000002,1.9693058729171753,0.3354642248321166,0.0,0.4467377039465235,-182.99505615234375,79.05486297607422,-1.1715924741336539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0.019999999999999574,1.2599999999999998,1.9775292873382568,0.3233394684017574,0.0,0.43434905988220157,-182.97134399414062,79.02225494384766,-1.1646565373906514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,0.020000000000000462,1.2800000000000002,1.9850786924362183,0.33093139410850103,0.0,0.4220601440170316,-182.9475555419922,78.98957061767578,-1.1578933066443409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.019999999999999574,1.2999999999999998,1.9919670820236206,0.3300442406808333,0.0,0.4098547216767618,-182.9236602783203,78.9568099975586,-1.1513029150527763,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,0.020000000000000462,1.3200000000000003,1.9984090328216553,0.31797661555374535,0.0,0.39771710083990475,-182.8997344970703,78.92399597167969,-1.1448864278803939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.019999999999999574,1.3399999999999999,2.0042881965637207,0.32591546432100765,0.0,0.3856638652314043,-182.87576293945312,78.89111328125,-1.1386419809144306,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.020000000000000462,1.3600000000000003,2.0095996856689453,0.32538204046949815,0.0,0.37368789573570177,-182.8517303466797,78.85818481445312,-1.1325735688965215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.019999999999999574,1.38,2.014557123184204,0.31364593832469423,0.0,0.361759262484551,-182.82766723632812,78.82521057128906,-1.1266782623494676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,0.020000000000000462,1.4000000000000004,2.019038200378418,0.32190308588427824,0.0,0.34990207882678737,-182.80357360839844,78.79218292236328,-1.1209579254860318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,0.019999999999999574,1.42,2.0230345726013184,0.321671831117875,0.0,0.33810947231139593,-182.77944946289062,78.75910949707031,-1.1154115596208056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.020000000000000462,1.4400000000000004,2.026756525039673,0.3102229971887303,0.0,0.3263505468197341,-182.75531005859375,78.72599029541016,-1.1100392979118432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,0.019999999999999574,1.46,2.030076503753662,0.3187559017931954,0.0,0.31465800833505264,-182.73118591308594,78.69283294677734,-1.10484173957039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,0.020000000000000462,1.4800000000000004,2.032982110977173,0.31878855595693284,0.0,0.3030179330244564,-182.70704650878906,78.65963745117188,-1.0998191509125552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.019999999999999574,1.5,2.0356802940368652,0.307592040889899,0.0,0.29140426723146096,-182.68292236328125,78.62640380859375,-1.0949712656222295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,0.019999999999999574,1.5199999999999996,2.038038492202759,0.3163686341672824,0.0,0.279845307442435,-182.65882873535156,78.59313201904297,-1.0902971515930313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
