step,rate,time,speed,throttle,brake,steer
358,0.009999999999999787,0.009999999999999787,0.0,0.575,0.0,0.0
359,0.009999999999999787,0.019999999999999574,0.0,0.575,0.0,0.0
360,0.010000000000000675,0.03000000000000025,-1.0679421791337518e-07,0.575,0.0,0.0
361,0.009999999999999787,0.040000000000000036,-2.3381808489375544e-08,0.575,0.0,0.0
362,0.009999999999999787,0.04999999999999982,-1.3206707194513e-07,0.575,0.0,0.0
363,0.009999999999999787,0.05999999999999961,-2.40157049802292e-07,0.575,0.0,0.0
364,0.010000000000000675,0.07000000000000028,-3.412981470773957e-07,0.575,0.0,0.0
365,0.009999999999999787,0.08000000000000007,-4.4908387053510523e-07,0.575,0.0,0.0
366,0.009999999999999787,0.08999999999999986,-5.486439818014333e-07,0.575,0.0,0.0
367,0.009999999999999787,0.09999999999999964,-4.6476310444631963e-07,0.575,0.0,0.0
368,0.010000000000000675,0.11000000000000032,-5.593701644102111e-07,0.575,0.0,0.0
369,0.009999999999999787,0.1200000000000001,-0.006883212830871344,0.575,0.0,0.0
370,0.009999999999999787,0.1299999999999999,0.04043182358145714,0.575,0.0,0.0
371,0.009999999999999787,0.13999999999999968,0.02771376073360443,0.575,0.0,0.0
372,0.010000000000000675,0.15000000000000036,0.03256523236632347,0.575,0.0,0.0
373,0.009999999999999787,0.16000000000000014,0.029344754293560982,0.575,0.0,0.0
374,0.009999999999999787,0.16999999999999993,0.03433512523770332,0.575,0.0,0.0
375,0.009999999999999787,0.17999999999999972,0.03143775463104248,0.575,0.0,0.0
376,0.010000000000000675,0.1900000000000004,0.037062015384435654,0.575,0.0,0.0
377,0.009999999999999787,0.20000000000000018,0.0347273163497448,0.575,0.0,0.0
378,0.009999999999999787,0.20999999999999996,0.04141480475664139,0.575,0.0,0.0
379,0.009999999999999787,0.21999999999999975,0.039985161274671555,0.575,0.0,0.0
380,0.010000000000000675,0.23000000000000043,0.04873346537351608,0.575,0.0,0.0
381,0.009999999999999787,0.2400000000000002,0.05135519057512283,0.575,0.0,0.0
382,0.009999999999999787,0.25,0.08150643110275269,0.575,0.0,0.0
383,0.009999999999999787,0.2599999999999998,0.10131250321865082,0.575,0.0,0.0
384,0.009999999999999787,0.2699999999999996,0.13308709859848022,0.575,0.0,0.0
385,0.010000000000000675,0.28000000000000025,0.1494818478822708,0.575,0.0,0.0
386,0.009999999999999787,0.29000000000000004,0.17836081981658936,0.575,0.0,0.0
387,0.009999999999999787,0.2999999999999998,0.19986684620380402,0.575,0.0,0.0
388,0.009999999999999787,0.3099999999999996,0.227656289935112,0.575,0.0,0.0
389,0.010000000000000675,0.3200000000000003,0.25868740677833557,0.575,0.0,0.0
390,0.009999999999999787,0.33000000000000007,0.2815759479999542,0.575,0.0,0.0
391,0.009999999999999787,0.33999999999999986,0.30129745602607727,0.575,0.0,0.0
392,0.009999999999999787,0.34999999999999964,0.33565574884414673,0.575,0.0,0.0
393,0.010000000000000675,0.3600000000000003,0.3559018671512604,0.575,0.0,0.0
394,0.009999999999999787,0.3700000000000001,0.3762016296386719,0.575,0.0,0.0
395,0.009999999999999787,0.3799999999999999,0.40462180972099304,0.575,0.0,0.0
396,0.009999999999999787,0.3899999999999997,0.4337792992591858,0.575,0.0,0.0
397,0.010000000000000675,0.40000000000000036,0.466459184885025,0.575,0.0,0.0
398,0.009999999999999787,0.41000000000000014,0.518695056438446,0.575,0.0,0.0
399,0.009999999999999787,0.41999999999999993,0.5438832640647888,0.575,0.0,0.0
400,0.009999999999999787,0.4299999999999997,0.5546245574951172,0.575,0.0,0.0
401,0.010000000000000675,0.4400000000000004,0.5968069434165955,0.575,0.0,0.0
402,0.009999999999999787,0.4500000000000002,0.6163600087165833,0.575,0.0,0.0
403,0.009999999999999787,0.45999999999999996,0.6447051763534546,0.575,0.0,0.0
404,0.009999999999999787,0.46999999999999975,0.6633743643760681,0.575,0.0,0.0
405,0.010000000000000675,0.4800000000000004,0.6977626085281372,0.575,0.0,0.0
406,0.009999999999999787,0.4900000000000002,0.720154345035553,0.575,0.0,0.0
407,0.009999999999999787,0.5,0.752907395362854,0.575,0.0,0.0
408,0.009999999999999787,0.5099999999999998,0.7774784564971924,0.575,0.0,0.0
409,0.009999999999999787,0.5199999999999996,0.8141261339187622,0.575,0.0,0.0
410,0.010000000000000675,0.5300000000000002,0.8486818671226501,0.575,0.0,0.0
411,0.009999999999999787,0.54,0.8785557150840759,0.575,0.0,0.0
412,0.009999999999999787,0.5499999999999998,0.9048687815666199,0.575,0.0,0.0
